child_id,action,danger
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,fighting,위험
,sleeping,비위험
,fighting,위험
,fighting,위험
,fighting,위험
,fighting,위험
,fighting,위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,fighting,위험
,fighting,위험
,fighting,위험
,sleeping,비위험
,sleeping,비위험
,fighting,위험
,fighting,위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,fighting,위험
,fighting,위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,fighting,위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,fighting,위험
,fighting,위험
,fighting,위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,fighting,위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,fighting,위험
,fighting,위험
,fighting,위험
,fighting,위험
,fighting,위험
,fighting,위험
,running,비위험
,running,비위험
,running,비위험
,running,비위험
,running,비위험
,running,비위험
,running,비위험
,running,비위험
,running,비위험
,running,비위험
,running,비위험
,sleeping,비위험
,sleeping,비위험
,sitting,비위험
,sitting,비위험
,sitting,비위험
,sitting,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,running,비위험
,running,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
,sleeping,비위험
